Block Number,time to mine block,transaction in block,block time,arrival rate
15917547,12,126,15:58:11,20.33333333
15917548,12,105,15:58:23,21.58333333
15917549,12,22,15:58:35,16
15917550,12,205,15:58:47,57.5
15917551,12,185,15:58:59,26
15917552,12,132,15:59:11,30.5
15917553,12,125,15:59:23,5.333333333
15917554,12,154,15:59:35,50.41666667
15917555,12,27,15:59:47,25.5
15917556,12,215,15:59:59,53.75
15917557,12,251,16:00:11,68.25
15917558,12,173,16:00:23,38
15917559,12,291,16:00:35,64.33333333
15917560,12,141,16:00:47,31.83333333
15917561,12,129,16:00:59,33.66666667
15917562,12,118,16:01:11,34.91666667
15917563,12,152,16:01:23,26.08333333
15917564,12,40,16:01:35,12.25
15917565,12,261,16:01:47,54.25
15917566,12,144,16:01:59,28.16666667
15917567,12,110,16:02:11,28.58333333
15917568,12,10,16:02:23,11.33333333
15917569,12,239,16:02:35,74.08333333
15917570,12,138,16:02:47,31.08333333
15917571,12,128,16:02:59,30.5
15917572,12,130,16:03:11,28.58333333
15917573,12,127,16:03:23,16.5
15917574,12,127,16:03:35,23
15917575,12,141,16:03:47,36.41666667
15917576,12,143,16:03:59,31.16666667
15917577,12,175,16:04:11,34.25
15917578,12,111,16:04:23,34
15917579,12,190,16:04:35,40.58333333
15917580,12,137,16:04:47,38.5
15917581,12,160,16:04:59,34.41666667
15917582,12,194,16:05:11,41.5
15917583,12,165,16:05:23,38.58333333
15917584,12,148,16:05:35,29.75
15917585,12,205,16:05:47,48.16666667
15917586,12,173,16:05:59,38.83333333
15917587,12,182,16:06:11,43.58333333
15917588,12,265,16:06:23,69.58333333
15917589,12,241,16:06:35,38.16666667
15917590,12,114,16:06:47,34.58333333
15917591,12,168,16:06:59,38.83333333
15917592,12,139,16:07:11,24
15917593,12,133,16:07:23,34.58333333
15917594,12,168,16:07:35,45.5
15917595,12,153,16:07:47,34.83333333
15917596,12,114,16:07:59,29.83333333
15917597,12,146,16:08:11,26.91666667
15917598,12,164,16:08:23,38.75
15917599,12,173,16:08:35,33.83333333
15917600,12,132,16:08:47,24.5
15917601,12,101,16:08:59,26.08333333
15917602,12,126,16:09:11,36.5
15917603,12,117,16:09:23,20.5
15917604,12,194,16:09:35,29.33333333
15917605,12,142,16:09:47,42.25
15917606,12,111,16:09:59,31.16666667
15917607,12,200,16:10:11,39.33333333
15917608,12,145,16:10:23,49.25
15917609,12,157,16:10:35,38.25
15917610,12,155,16:10:47,36.33333333
15917611,12,145,16:10:59,12.66666667
15917612,12,151,16:11:11,44.41666667
15917613,12,157,16:11:23,37.58333333
15917614,12,139,16:11:35,39.83333333
15917615,12,162,16:11:47,38.91666667
15917616,12,158,16:11:59,17.41666667
15917617,12,202,16:12:11,65.58333333
15917618,12,151,16:12:23,33.91666667
15917619,12,156,16:12:35,33.66666667
15917620,12,90,16:12:47,24.66666667
15917621,12,79,16:12:59,24.41666667
15917622,12,183,16:13:11,35.66666667
15917623,12,24,16:13:23,21.33333333
15917624,12,229,16:13:35,38.75
15917625,12,109,16:13:47,24.33333333
15917626,12,195,16:13:59,53.33333333
15917627,12,122,16:14:11,19
15917628,12,85,16:14:23,24.5
15917629,12,138,16:14:35,27.41666667
15917630,12,128,16:14:47,32
15917631,12,137,16:14:59,31.25
15917632,24,298,16:15:23,58.16666667
15917633,12,138,16:15:35,28.66666667
15917634,12,95,16:15:47,27.66666667
15917635,12,154,16:15:59,33.08333333
15917636,12,134,16:16:11,25.75
15917637,12,168,16:16:23,32.25
15917638,12,37,16:16:35,14.16666667
15917639,12,235,16:16:47,31.25
15917640,12,133,16:16:59,32.83333333
15917641,12,160,16:17:11,35
15917642,12,116,16:17:23,12.33333333
15917643,12,115,16:17:35,37.83333333
15917644,12,181,16:17:47,46.75
15917645,12,127,16:17:59,26.75
15917646,12,212,16:18:11,35.83333333
15917647,12,115,16:18:23,20.58333333
15917648,12,137,16:18:35,26.75
15917649,12,133,16:18:47,31.33333333
15917650,12,137,16:18:59,25.91666667
15917651,12,124,16:19:11,25.58333333
15917652,12,136,16:19:23,25.16666667
15917653,12,66,16:19:35,23.91666667
15917654,12,317,16:19:47,71
15917655,12,31,16:19:59,16.75
15917656,12,211,16:20:11,19.33333333
15917657,12,7,16:20:23,29.66666667
15917658,12,248,16:20:35,49.58333333
15917659,12,133,16:20:47,23.16666667
15917660,12,100,16:20:59,20.08333333
15917661,12,150,16:21:11,34.5
15917662,12,156,16:21:23,44.83333333
15917663,12,137,16:21:35,31.75
15917664,12,118,16:21:47,23.75
15917665,12,98,16:21:59,21.08333333
15917666,12,154,16:22:11,34.16666667
15917667,12,134,16:22:23,19.33333333
15917668,12,112,16:22:35,37.16666667
15917669,12,158,16:22:47,34.25
15917670,12,107,16:22:59,26.66666667
15917671,12,167,16:23:11,31.41666667
15917672,12,153,16:23:23,15.91666667
15917673,12,140,16:23:35,52
15917674,12,92,16:23:47,18.91666667
15917675,12,125,16:23:59,28.83333333
15917676,12,133,16:24:11,33.91666667
15917677,12,60,16:24:23,15.25
15917678,12,223,16:24:35,48.33333333
15917679,12,142,16:24:47,28.33333333
15917680,12,157,16:24:59,39.83333333
15917681,12,119,16:25:11,25.08333333
15917682,12,175,16:25:23,30.08333333
15917683,12,149,16:25:35,37
15917684,12,162,16:25:47,36.75
15917685,12,148,16:25:59,31.5
15917686,12,148,16:26:11,29.66666667
15917687,12,140,16:26:23,35.91666667
15917688,12,125,16:26:35,18.16666667
15917689,12,129,16:26:47,27.75
15917690,12,128,16:26:59,26.5
15917691,12,126,16:27:11,24.91666667
15917692,12,26,16:27:23,12.5
15917693,12,253,16:27:35,63.08333333
15917694,12,127,16:27:47,27.75
15917695,12,138,16:27:59,36.41666667
15917696,12,156,16:28:11,34.08333333
15917697,12,106,16:28:23,25.66666667
15917698,12,153,16:28:35,30.91666667
15917699,12,131,16:28:47,36.25
15917700,12,153,16:28:59,29
15917701,12,107,16:29:11,28.5
15917702,12,205,16:29:23,47.58333333
15917703,12,130,16:29:35,34.91666667
15917704,12,120,16:29:47,22.66666667
15917705,12,135,16:29:59,31.58333333
15917706,12,210,16:30:11,55.75
15917707,12,319,16:30:23,59.75
15917708,12,256,16:30:35,51.25
15917709,12,173,16:30:47,35.66666667
15917710,12,145,16:30:59,14.16666667
15917711,12,160,16:31:11,35.66666667
15917712,12,133,16:31:23,26.75
15917713,12,169,16:31:35,43.83333333
15917714,12,154,16:31:47,38
15917715,12,136,16:31:59,29
15917716,12,37,16:32:11,14.5
15917717,12,334,16:32:23,27.66666667
15917718,12,161,16:32:35,39.58333333
15917719,12,152,16:32:47,39.58333333
15917720,12,114,16:32:59,14.83333333
15917721,12,180,16:33:11,41.58333333
15917722,12,114,16:33:23,22
15917723,12,177,16:33:35,39.16666667
15917724,12,157,16:33:47,30.25
15917725,12,94,16:33:59,15.08333333
15917726,12,137,16:34:11,26.33333333
15917727,12,166,16:34:23,38.66666667
15917728,12,53,16:34:35,16.16666667
15917729,12,184,16:34:47,38.25
15917730,12,127,16:34:59,25.66666667
15917731,12,123,16:35:11,26.91666667
15917732,12,117,16:35:23,22.25
15917733,12,147,16:35:35,30.83333333
15917734,12,130,16:35:47,23.5
15917735,12,102,16:35:59,23
15917736,12,141,16:36:11,16.33333333
15917737,12,114,16:36:23,26.41666667
15917738,12,141,16:36:35,16
15917739,12,136,16:36:47,36.25
15917740,12,37,16:36:59,22
15917741,12,238,16:37:11,58.5
15917742,12,120,16:37:23,28.91666667
15917743,12,109,16:37:35,22.5
15917744,12,144,16:37:47,33.91666667
15917745,12,150,16:37:59,35.83333333
15917746,12,72,16:38:11,17.91666667
15917747,12,188,16:38:23,37.75
15917748,12,132,16:38:35,27
15917749,12,125,16:38:47,30.83333333
15917750,12,104,16:38:59,23.08333333
15917751,12,184,16:39:11,32.83333333
15917752,12,171,16:39:23,41.08333333
15917753,12,146,16:39:35,32.5
15917754,12,83,16:39:47,19.66666667
15917755,12,140,16:39:59,27.33333333
15917756,12,141,16:40:11,29
15917757,12,154,16:40:23,36
15917758,12,131,16:40:35,31.08333333
15917759,12,22,16:40:47,17.08333333
